"","Abrothrix andinus","Abrothrix lanosus","Abrothrix longipilis","Abrothrix manni","Abrothrix olivaceus","Abrothrix sanborni","Aconaemys fuscus","Aconaemys porteri","Aconaemys sagei","Akodon albiventer","Andinomys edax","Auliscomys boliviensis","Auliscomys sublimis","Chelemys macronyx","Chinchillula sahamae","Ctenomys fulvus","Ctenomys magellanicus","Ctenomys maulinus","Ctenomys opimus","Eligmodontia puerulus","Eligmodontia typus","Euneomys chinchilloides","Euneomys mordax","Geoxus valdivianus","Irenomys tarsalis","Loxodontomys micropus","Mus musculus","Myocastor coypus","Octodon bridgesi","Octodon degus","Octodon lunatus","Octodontomys gliroides","Oligoryzomys longicaudatus","Phyllotis darwini","Phyllotis magister","Phyllotis xanthopygus","Reithrodon auritus","Spalacopus cyanus"
"Euneomys chinchilloides",0,0.437660963954365,0.0632581882923248,0,5.14173798763794e-07,0,0,0,0,0,0,0,0,0,0,0,0.3215619439368,0,0,0,0,0,0,0,0,1.10566134573742e-06,0,0.0137164752753464,0,0,0,0,0,0,0,0,0.33060321893353,0
"Euneomys mordax",0.0567901702748715,0,0.0628900741540833,0.0282764391285449,0.0357040939434423,0,0.287713659105709,0.148701593173883,0.0558621734630426,0,0,0,0,0.107044298509287,0,0,0,0.27018880444435,0,0,0,0,0,0.0356016245943983,0.0494023940145327,0.0797491826948203,0.0431923982638561,0.00803031264159588,0.108062537642399,0.00266948732523554,0,0,0.0264666364818324,0,0,0.111133438787254,0,0.0410833048958056
"Geoxus valdivianus",0,0.301573183580941,0.550774143808682,0.893070754401893,0.38188459763504,0.731471180464841,0.606354324202439,1,0.956738479409644,0,0,0,0,0.83547989230206,0,0,0.357816971522402,0.841228365641683,0,0,0.80315356362793,0,0.3456100488608,0,0.800712839111197,0.718564427684363,0.292724501991631,0.498202062095589,0.788760828910019,0,0,0,0.41731015994397,0.189758030659097,0,0.023447216047661,0.373255286072697,0.0630796501954989
"Irenomys tarsalis",0,0,0.325278752150757,0.748084012990257,0.246313794540498,0.915001285256139,0.198629419751689,0.973848855911225,0.55457745460397,0,0,0,0,0.493644462692209,0,0,0.0566565329691259,0.580337761064629,0,0,0,0,0.321161144447029,0.536210419734033,0,0.376564040332926,0.175657662620131,0.329024697414657,0.345878986532956,0,0,0,0.29030075013357,0.00586309025603366,0,0.0132572885784675,0.0102115591259618,0.0097720294615657
"Loxodontomys micropus",0.124742152216385,0.452760714592889,0.660432441671785,0.611397989808838,0.46280758234796,0.628844855274578,0.999999999999972,1,0.672583303289329,0,0,0,0,0.83522852252645,0,0,0.498604119889776,0.999999999999984,0,0,0.903330628435568,5.89200662136779e-06,0.930110018080268,0.863291072896819,0.675572440568868,0,0.331352850595476,0.541946725841319,0.933459013209037,0.288391049750296,0.0568901171802747,0,0.471032116527495,0.351328377399895,0,0.191536473162117,0.51393761441694,0.374767702336233
"Mus musculus",0.736307806655101,0,0.621418300083872,0.960464307670449,0.614926664903431,0.915065146722773,0.999999999999974,0.992695964973662,0.981202617860208,0.623032102582795,0.999999999999985,1,0.641207129357458,0.747391538798839,1.00000000000002,0.655392054717148,0,0.986121767774236,0.593725511558156,0.657715720485677,0,0,0.954288211124078,0.666215558200814,0.596986262630135,0.627703961756927,0,0.506849099264234,0.993094567852342,0.999999998495606,0.999999938512944,0.999695111837709,0.558610599189837,0.99998974594064,0.999999999999999,0.746192211534403,0,0.999999997786514
"Myocastor coypus",0.0081173715113062,0.555250208461044,0.829833628976354,0.991562829532557,0.722930601011866,0.952767785807369,0.581542645857225,1,0.945751293452316,0,0,0,0,0.871716974295077,0,0,0.699376075417053,0.683577412147416,0,0,0.982761522233238,0.117015637494121,0.149934236895061,0.958202579234754,0.944978345111754,0.867594670197782,0.428326356541902,0,0.841759507081186,0.795913727041483,0.951120559075429,0,0.747869887076429,0.644837103303344,0,0.0245699239291055,0.663946070809446,0.722317436341965
"Octodon bridgesi",0.0380538618091584,0,0.316023434496522,0.0873717288959181,0.205348635466001,0,0.863131470818013,0.342293554267806,0.629089006265278,0,0,0,0,0.498133617480349,0,0,0,0.922279765837833,0,0,0,0,0.543088680436718,0.408342307623499,0.267389756078012,0.402237689413682,0.225898816468084,0.226576706372964,0,0.103115411045743,0,0,0.220845896169994,0.268827651408566,0,0.0692967687841482,0,0.155762087644243
"Octodon degus",0.0481363985004678,0,0.14440738065352,0,0.118804094485551,0,0.0131023271142555,0,0,0,0,0,0,0.00421362193210745,0,0,0,0,0,0,0,0,0.008092943816361,0,0,0.0749639321478689,0.137216526625784,0.129233854437578,0.0622023296533581,0,0.99623729935961,0,0.135294210170114,0.467890072482597,0,0.040095938460513,0,0.715800909431397
"Octodon lunatus",4.62684708423716e-05,0,0.0742717608166049,0,0.0497826375309495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594235324402605,0.0551388179180766,0.0620578788739116,0,0.400326051812485,0,0,0.054412867327416,0.196119568048034,0,0.0108029948412306,0,0.334456760252274
"Octodontomys gliroides",0.147767068925635,0,0,0,0.00697501085336178,0,0,0,0,0.441561554655744,0.992248545132386,0.991589161094749,0.417860076115303,0,0.992721075188126,0.00258303663581134,0,0,0.371846568557851,0.387912038107704,0,0,0,0,0,0,0.0480026696274922,0,0,0,0,0,0,0,0.429722910473298,0.12302132533175,0,0
"Oligoryzomys longicaudatus",0.0870768194595359,0.325247391193692,0.83882348812447,0.998523291171996,0.786950058183433,0.999937902741822,0.916917279981961,1,0.999986809915897,0,0,0,0,0.959870567954845,0,0,0.350225792405504,0.96387467119702,0,0,0.76250894171638,0,0.592542525041158,0.962416776196341,0.999755789482389,0.904197308610179,0.566053791221076,0.896764604915322,0.983817437564395,0.999128439047353,0.999983112054228,0,0,0.904995001803038,0,0.153499674687399,0.331262967750839,0.964079463101255
"Phyllotis darwini",0.0282605605303132,0,0.23260224217045,0,0.235055684892978,0,0.252722280020503,0,0,0,0,0,0,0.0920731502432244,0,0,0,0.0178680379332837,0,0,0,0,0,0.121397880226659,0.00560117397068947,0.187082270754893,0.281093492043818,0.21449103386047,0.332204746095191,0.958501180867899,0.999812803819507,0,0.251045761325911,0,0,0.0281920285988015,0,0.885275280838018
"Phyllotis magister",0.170214566895239,0,0,0,0.000396741048213946,0,0,0,0,0.289879829961988,0.403632594373474,0.367847746942066,0.242157396042716,0,0.376483885394286,0.167564956797822,0,0,0.0335397206034643,0.287309451274967,0,0,0,0,0,0,0.0473214981959687,0,0,0,0,0.423495862823453,0,0,0,0.146849006086882,0,0
"Phyllotis xanthopygus",0.937858733995879,0,0.0893624998748507,0,0.0523103512529956,0,0.269631387031161,0,0.023181305780044,0.989888911121601,1.00000000000002,1.00000000000002,1,0.103323811747135,1.00000000000004,0.739581566363904,0.0224824069045192,0.16271135492079,0.999999999999965,0.857876977513784,0.10234925571273,0,0.723427864541408,0.015722630926015,0.0132748672853299,0.106903982636964,0.219851256319682,0.00856615506717285,0.0897569063308272,0.0860938640681047,0.0577251314598384,0.754850277456633,0.0446310565214325,0.0295494446462511,0.914304306802584,0,0.0407314798506749,0.153474408228024
"Reithrodon auritus",0,0.721088135208471,0.196584196167778,0,0.0915554278141997,0.0849344264702347,0,0,0,0,0,0,0,0.0967747957846855,0,0,0.720871450633905,0,0,0,0.999999999999983,0.505915955240933,0,0.1287738564941,0.00526084292005023,0.147584450689378,0,0.119097522008078,0,0,0,0,0.0495553327907739,0,0,0.020956463217918,0,0
"Spalacopus cyanus",0.0917334345766551,0,0.179457166065777,0,0.146849183177311,0,0,0,0,0,0,0,0,0.0139005516527092,0,0,0,0,0,0,0,0,0.149642544974614,0.0236680481611247,0.00547519358428152,0.117042553439673,0.164860826313917,0.14091247789709,0.112890106647733,0.86000959498573,0.999999939699571,0,0.156849006862028,0.519207033306612,0,0.085876671009871,0,0
