"","Abrothrix.andinus","Abrothrix.lanosus","Abrothrix.longipilis","Abrothrix.manni","Abrothrix.olivaceus","Abrothrix.sanborni","Aconaemys.fuscus","Aconaemys.porteri","Aconaemys.sagei","Akodon.albiventer","Andinomys.edax","Auliscomys.boliviensis","Auliscomys.sublimis","Chelemys.macronyx","Chinchillula.sahamae","Ctenomys.fulvus","Ctenomys.magellanicus","Ctenomys.maulinus","Ctenomys.opimus","Eligmodontia.puerulus","Eligmodontia.typus","Euneomys.chinchilloides","Euneomys.mordax","Geoxus.valdivianus","Irenomys.tarsalis","Loxodontomys.micropus","Mus.musculus","Myocastor.coypus","Octodon.bridgesi","Octodon.degus","Octodon.lunatus","Octodontomys.gliroides","Oligoryzomys.longicaudatus","Phyllotis.darwini","Phyllotis.magister","Phyllotis.xanthopygus","Reithrodon.auritus","Spalacopus.cyanus"
"Andinomys edax",6.88674738951399,34.4404581522953,23.0133210119747,22.7979787211279,20.5989006086747,25.5283135511564,18.0695435425962,22.17034414222,20.8504218187024,2.85651422987606,0,0.0445390004716347,2.87152597539176,21.8754470147255,0.0412210078606466,4.26158699344581,33.0663434118987,19.5438177373018,4.22944721652786,2.7444681858391,33.0126962453634,35.579465713682,18.081227196674,23.2533340554981,23.6444600870778,23.0345489209063,12.5383958788987,24.5552461854524,18.9617524337919,14.1207712702616,14.1827046298293,0.702206247469054,22.8315061493195,13.6569645304269,2.20606088077536,8.19810773282587,33.0067075039007,14.3619009477146
"Auliscomys boliviensis",6.93116832733903,34.484260342291,23.0566315840205,22.8407628766247,20.6420185381641,25.5707941251124,18.1128996858883,22.2134439067198,20.8932565370873,2.90026435335748,0.0445390004716347,0,2.91516438337986,21.918535519865,0.0829735222068626,4.30607233211033,33.1101273477704,19.5870935739002,4.27358540653336,2.78852218219828,33.0562055962127,35.6235050674453,18.1248179874621,23.2963841440239,23.6874270791773,23.0777594057635,12.5815962434473,24.5983469474384,19.0047599529306,14.1638714730752,14.2257467208938,0.746693056786462,22.8744580835086,13.6999783907685,2.25056923728385,8.24238757566079,33.0505522893389,14.4049844644234
"Auliscomys sublimis",4.19754601547432,31.7977167408656,20.4500110977707,20.3016484508168,18.0658780194852,23.062453075042,15.5116529925365,19.6360653470148,18.3525795382954,0.0402444393184793,2.87152597539176,2.91516438337986,0,19.3432401259095,2.83228036426591,1.49015092390468,30.4270813379619,16.9926788639464,1.37845054886178,0.197965802372124,30.4114715446467,32.8999862045684,15.4899742903468,20.7231745218954,21.1239429055916,20.4843051104575,10.0295718910428,22.0163533308468,16.447523547452,11.6151842018691,11.6847028089617,2.19869050022281,20.3144790163546,11.1661869455007,0.78485031841641,5.53480474801147,30.3585892677722,11.8571734672122
"Chelemys macronyx",15.1557906642432,12.7276287736322,1.22760499285099,1.08703657988736,1.27774802640965,3.83414602209233,3.83797690463875,0.29572651906679,1.12451864171339,19.3378157996395,21.8754470147255,21.918535519865,19.3432401259095,0,21.8458093513706,17.857273251182,11.3555212311536,2.35850016384743,18.0376235032361,19.3832714993605,11.1905105305288,14.0200322371355,3.91834353926832,1.37998614403378,1.78522687907295,1.18546992246501,9.33850322960724,2.67992455082733,2.91731607978833,7.75469187333521,7.69310333235467,21.1886102342044,0.992037408407727,8.21929943227737,19.7741233995381,13.8198358312687,11.3330714741158,7.51355303735241
"Chinchillula sahamae",6.85241146006911,34.4087788495664,22.9831000748807,22.7690881370901,20.5691893828868,25.5001218767183,18.0392049079378,22.1406774321672,20.8214128236666,2.81743766236375,0.0412210078606466,0.0829735222068626,2.83228036426591,21.8458093513706,0,4.22473244005084,33.0347241181346,19.513694407025,4.19114326142295,2.70596872218581,32.9819140703941,35.5469519642891,18.0502189978404,23.2237921542485,23.6151252437251,23.0045946098479,12.5084883368645,24.5255744297019,18.9323230071259,14.0911181251517,14.153198809936,0.667676329020436,22.8022093706095,13.6275312114239,2.16946894939113,8.16459012433837,32.9748877640221,14.3322896893809
"Ctenomys fulvus",2.70752534739033,30.3084581333033,18.9615095671921,18.8191962017237,16.5801344721701,21.5830297817382,14.0243928391777,18.1498509480022,16.8705704026908,1.48811048486497,4.26158699344581,4.30607233211033,1.49015092390468,17.857273251182,4.22473244005084,0,28.9376263536478,15.5056003599491,0.364772839617879,1.55481979947463,28.9213330227122,31.4136351400736,14.0006116863912,19.2371159016568,19.6387030630445,18.9966611449061,8.55218309909371,20.5293488844742,14.9642825326447,10.1362907793385,10.2069235757,3.56351797639966,18.8297580168414,9.69023691349391,2.05584878773411,4.04497560734472,28.8695698783757,10.3781597730765
"Ctenomys magellanicus",26.2335130808321,1.37622063613705,10.1514047400189,10.6105875463171,12.596918078532,8.31601269320759,15.0402548010741,11.0625399096097,12.4589853931231,30.4257234546645,33.0663434118987,33.1101273477704,30.4270813379619,11.3555212311536,33.0347241181346,28.9376263536478,0,13.5932432901983,29.0812660063354,30.4862515193462,1.02776742848322,2.77773404999119,14.9951642701785,10.0309896906151,9.69804962701188,10.1700830167761,20.5663493726701,8.74506466529993,14.2418101619512,19.0071263772717,18.9549651242841,32.3706250282852,10.4886569592812,19.4806300900311,30.9182317012757,24.8999292935234,0.258423398733678,18.7705202427659
"Ctenomys maulinus",12.8023021946086,14.96916418596,3.4702368886419,3.37788049043403,1.09477746495003,6.16587170864618,1.4814240128627,2.64799033751053,1.52359690392584,16.9876858823005,19.5438177373018,19.5870935739002,16.9926788639464,2.35850016384743,19.513694407025,15.5056003599491,13.5932432901983,0,15.6829676126999,17.0349068283365,13.4820010057803,16.2062800007859,1.58168352346489,3.73527667115209,4.14372388140027,3.49312414948435,7.0063350267318,5.0237486900222,0.746791239272458,5.4297772438395,5.37293877290254,18.8545873791751,3.34432981358614,5.89975945569599,17.4319350238625,11.4656657875421,13.554907506442,5.19043942135279
"Ctenomys opimus",2.88394687818049,30.450634701175,19.1324207783411,19.008051557877,16.7614215030704,21.7772738079361,14.2015579027662,18.3294014295432,17.0607928603564,1.38616869702764,4.22944721652786,4.27358540653336,1.37845054886178,18.0376235032361,4.19114326142295,0.364772839617879,29.0812660063354,15.6829676126999,0,1.48573822209227,29.0767614900969,31.5430268093709,14.1677778164025,19.4169270538297,19.8207590048136,19.171206101307,8.7550701538457,20.7059442290868,15.1523628521249,10.3352813474327,10.4077891673176,3.54156226215019,19.0133274055534,9.89445018784754,2.04516586682275,4.21790053854181,29.0103238985563,10.5767717833499
"Eligmodontia puerulus",4.25274497858381,31.8576128253463,20.4951473344369,20.336607239546,18.1056525960576,23.0937439882131,15.5543941829851,19.6764928266277,18.3871784916789,0.16050213678657,2.7444681858391,2.78852218219828,0.197965802372124,19.3832714993605,2.70596872218581,1.55481979947463,30.4862515193462,17.0349068283365,1.48573822209227,0,30.4642330069878,32.9666109892881,15.5381629891406,20.7632569347606,21.16267457125,20.5274046815459,10.0610090524484,22.0580576953864,16.4838715549081,11.6475372769663,11.7159510527094,2.06076904500831,20.3524874503693,11.1959132671734,0.604136953894823,5.58761822269956,30.4193061022438,11.8895799739823
