Parasite,Rodent,Type
Plocopsylla crypta,Abrothrix olivaceus,EctoParasite
Plocopsylla crypta,Phyllotis darwini,EctoParasite
Plocopsylla crypta,Octodon degus,EctoParasite
Plocopsylla diana,Abrothrix longipilis,EctoParasite
Plocopsylla diana,Abrothrix olivaceus,EctoParasite
Plocopsylla diana,Aconaemys porteri,EctoParasite
Plocopsylla enderleini,Chinchillula sahamae,EctoParasite
Plocopsylla fuegina,Ctenomys magellanicus,EctoParasite
Plocopsylla lewisi,Abrothrix longipilis,EctoParasite
Plocopsylla lewisi,Abrothrix olivaceus,EctoParasite
Plocopsylla lewisi,Oligoryzomys longicaudatus,EctoParasite
Plocopsylla lewisi,Reithrodon auritus,EctoParasite
Plocopsylla lewisi,Euneomys chinchilloides,EctoParasite
Plocopsylla muruai,Abrothrix olivaceus,EctoParasite
Plocopsylla muruai,Abrothrix longipilis,EctoParasite
Plocopsylla reigi,Abrothrix olivaceus,EctoParasite
Plocopsylla reigi,Oligoryzomys longicaudatus,EctoParasite
Plocopsylla reigi,Phyllotis darwini,EctoParasite
Plocopsylla reigi,Geoxus valdivianus,EctoParasite
Plocopsylla reigi,Chelemys macronyx,EctoParasite
Plocopsylla silewi,Abrothrix olivaceus,EctoParasite
Plocopsylla viracocha,Auliscomys boliviensis,EctoParasite
Plocopsylla viracocha,Andinomys edax,EctoParasite
Plocopsylla viracocha,Phyllotis darwini,EctoParasite
Plocopsylla viracocha,Chinchillula sahamae,EctoParasite
Plocopsylla viracocha,Phyllotis osgoodi,EctoParasite
Plocopsylla wilesi,Abrothrix olivaceus,EctoParasite
Plocopsylla wilesi,Phyllotis xanthopygus,EctoParasite
Plocopsylla wolffsohni,Rattus rattus,EctoParasite
Plocopsylla wolffsohni,Abrothrix longipilis,EctoParasite
Plocopsylla wolffsohni,Abrothrix olivaceus,EctoParasite
Plocopsylla wolffsohni,Chelemys macronyx,EctoParasite
Plocopsylla wolffsohni,Phyllotis darwini,EctoParasite
Plocopsylla wolffsohni,Octodon degus,EctoParasite
Polygenis platensis,Ctenomys robustus,EctoParasite
Polygenis platensis,Ctenomys fulvus,EctoParasite
Pulex irritans,Lagidium viscacia,EctoParasite
Pulex irritans,Mus musculus,EctoParasite
Pulex irritans,Rattus rattus,EctoParasite
Pulex irritans,Rattus norvegicus,EctoParasite
Sphinctopsylla ares,Abrothrix longipilis,EctoParasite
Sphinctopsylla ares,Abrothrix olivaceus,EctoParasite
Sphinctopsylla ares,Oligoryzomys longicaudatus,EctoParasite
Sphinctopsylla ares,Phyllotis darwini,EctoParasite
Sphinctopsylla ares,Loxodontomys micropus,EctoParasite
Sphinctopsylla ares,Abrothrix lanosus,EctoParasite
Sphinctopsylla ares,Rattus rattus,EctoParasite
Sphinctopsylla ares,Abrothrix sanborni,EctoParasite
Sphinctopsylla ares,Geoxus valdivianus,EctoParasite
Sphinctopsylla ares,Chelemys macronyx,EctoParasite
Sphinctopsylla ares,Reithrodon auritus,EctoParasite
Sphinctopsylla ares,Euneomys mordax,EctoParasite
Sphinctopsylla ares,Loxodontomys pikumche,EctoParasite
Sphinctopsylla ares,Phyllotis xanthopygus,EctoParasite
Sphinctopsylla ares,Spalacopus cyanus,EctoParasite
Sphinctopsylla ares,Aconaemys porteri,EctoParasite
Tetrapsylllus corfidii,Octodon degus,EctoParasite
Tetrapsyllus amplus,Abrothrix olivaceus,EctoParasite
Tetrapsyllus amplus,Abrothrix longipilis,EctoParasite
Tetrapsyllus amplus,Oligoryzomys longicaudatus,EctoParasite
Tetrapsyllus amplus,Phyllotis darwini,EctoParasite
Tetrapsyllus bleptus,Phyllotis darwini,EctoParasite
Tetrapsyllus bleptus,Phyllotis magister,EctoParasite
Tetrapsyllus bleptus,Phyllotis xanthopygus,EctoParasite
Tetrapsyllus comis,Octodon bridgesi,EctoParasite
Tetrapsyllus contortrix,Abrothrix olivaceus,EctoParasite
Tetrapsyllus contortrix,Phyllotis darwini,EctoParasite
Tetrapsyllus corfidii,Abrothrix longipilis,EctoParasite
Tetrapsyllus corfidii,Abrothrix olivaceus,EctoParasite
Tetrapsyllus corfidii,Abrocoma bennetti,EctoParasite
Tetrapsyllus corfidii,Phyllotis darwini,EctoParasite
Tetrapsyllus corfidii,Aconaemys fuscus,EctoParasite
Tetrapsyllus corfidii,Octodon degus,EctoParasite
Tetrapsyllus corfidii,Octodon bridgesi,EctoParasite
Tetrapsyllus corfidii,Octodon lunatus,EctoParasite
Tetrapsyllus elutus,Auliscomys sublimis,EctoParasite
Tetrapsyllus elutus,Phyllotis xanthopygus,EctoParasite
Tetrapsyllus maulinus,Ctenomys maulinus,EctoParasite
Tetrapsyllus maulinus,Ctenomys magellanicus,EctoParasite
Tetrapsyllus maulinus,Ctenomys colburni,EctoParasite
Tetrapsyllus rhombus,Abrothrix longipilis,EctoParasite
Tetrapsyllus rhombus,Oligoryzomys longicaudatus,EctoParasite
Tetrapsyllus rhombus,Phyllotis darwini,EctoParasite
Tetrapsyllus rhombus,Rattus rattus,EctoParasite
Tetrapsyllus rhombus,Abrothrix olivaceus,EctoParasite
Tetrapsyllus rhombus,Loxodontomys micropus,EctoParasite
Tetrapsyllus rhombus,Euneomys mordax,EctoParasite
Tetrapsyllus rhombus,Geoxus valdivianus,EctoParasite
Tetrapsyllus rhombus,Reithrodon auritus,EctoParasite
Tetrapsyllus rhombus,Loxodontomys pikumche,EctoParasite
Tetrapsyllus rhombus,Aconaemys porteri,EctoParasite
Tetrapsyllus rhombus,Rattus norvegicus,EctoParasite
Tetrapsyllus rhombus,Ctenomys maulinus,EctoParasite
Tetrapsyllus satyrus,Aconaemys fuscus,EctoParasite
Tetrapsyllus satyrus,Aconaemys porteri,EctoParasite
Tetrapsyllus satyrus,Chelemys macronyx,EctoParasite
Tetrapsyllus satyrus,Geoxus valdivianus,EctoParasite
Tetrapsyllus simulans,Abrothrix longipilis,EctoParasite
Tetrapsyllus simulans,Oligoryzomys longicaudatus,EctoParasite
Tetrapsyllus simulans,Phyllotis darwini,EctoParasite
Tetrapsyllus tantillus,Abrothrix olivaceus,EctoParasite
Tetrapsyllus tantillus,Phyllotis darwini,EctoParasite
Tetrapsyllus tantillus,Octodon degus,EctoParasite
Tetrapsyllus tantillus,Abrothrix longipilis,EctoParasite
Tetrapsyllus tantillus,Euneomys mordax,EctoParasite
Tetrapsyllus tantillus,Reithrodon auritus,EctoParasite
Tetrapsyllus tantillus,Loxodontomys micropus,EctoParasite
Tetrapsyllus tantillus,Phyllotis xanthopygus,EctoParasite
Tetrapsyllus tantillus,Spalacopus cyanus,EctoParasite
Tetrapsyllus tantillus,Ctenomys magellanicus,EctoParasite
Tetrapsyllus tantillus,Abrocoma bennetti,EctoParasite
Tiamastus callens,Ctenomys maulinus,EctoParasite
Tiamastus gallardoi,Abrothrix olivaceus,EctoParasite
Tiamastus gallardoi,Ctenomys colburni,EctoParasite
Tiamastus plesius,Ctenomys robustus,EctoParasite
Tunga bonneti,Phyllotis darwini,EctoParasite
Tunga bonneti,Rattus rattus,EctoParasite
Tunga bonneti,Phyllotis xanthopygus,EctoParasite
Tunga libis,Phyllotis darwini,EctoParasite
Tunga penetrans,Rattus norvegicus,EctoParasite
Xenopsylla astia,Rattus norvegicus,EctoParasite
Xenopsylla cheopis,Rattus rattus,EctoParasite
Xenopsylla cheopis,Rattus norvegicus,EctoParasite
