"","Ctenomys maulinus","Reithrodon auritus","Loxodontomys micropus","Akodon albiventer","Ctenomys opimus","Auliscomys boliviensis","Abrothrix olivaceus","Abrothrix manni","Abrothrix lanosus","Octodon lunatus","Auliscomys sublimis","Octodon bridgesi","Phyllotis magister","Spalacopus cyanus","Euneomys chinchilloides","Euneomys mordax","Chinchillula sahamae","Octodontomys gliroides","Chelemys macronyx","Abrothrix sanborni","Loxodontomys pikumche","Octodon degus","Oligoryzomys longicaudatus","Abrocoma bennettii","Abrothrix andinus","Phyllotis xanthopygus","Geoxus valdivianus","Lagidium viscacia","Phyllotis osgoodi","Abrothrix longipilis","Mus musculus","Abrocoma cinerea","Eligmodontia puerulus","Aconaemys fuscus","Ctenomys fulvus","Aconaemys sagei","Aconaemys porteri","Irenomys tarsalis","Ctenomys magellanicus","Phyllotis darwini","Andinomys edax","Eligmodontia typus","Myocastor coypus"
"Octodon bridgesi",0.746791239272458,14.2101853691665,4.0905414976653,16.4413152129511,15.1523628521249,19.0047599529306,1.64843745191855,3.85569369448312,15.6165543717268,4.77928511995302,16.447523547452,0,16.8673934266804,4.60112427330234,16.8759227006308,1.36498454039363,18.9323230071259,18.2760761438971,2.91731607978833,6.63176961165569,2.42583886306745,4.84276625666361,3.87099505887471,6.87696939529075,12.2685605492735,10.9355946445483,4.29230842519847,10.4588461530732,18.7671566936927,4.09258605097613,6.42875210930393,16.3324334674934,16.4838715549081,1.0713274144589,14.9642825326447,1.91060589642435,3.21292951174122,4.68326765080918,14.2418101619512,5.30479242952756,18.9617524337919,14.1015633039008,5.59632829016931
"Phyllotis magister",17.4319350238625,30.8547154300745,20.9250129275097,0.754529552184175,2.04516586682275,2.25056923728385,18.4964408442128,20.7150651635399,32.2910216633459,12.0911364348658,0.78485031841641,16.8673934266804,0,12.2673269542057,33.4145964261681,15.9496821382265,2.16946894939113,1.5077810243497,19.7741233995381,23.4624427699389,14.4711392654772,12.0254249628231,20.7381991686577,9.99120868055874,4.70045228413954,6.0239378579444,21.153719886579,6.48326844963983,2.03332212775084,20.8974935597666,10.438795200025,0.858922211393501,0.604136953894823,15.953418715486,2.05584878773411,18.7655802243161,20.0681612614521,21.5498148472276,30.9182317012757,11.5680833630339,2.20606088077536,30.8818336240538,22.4519122528063
"Spalacopus cyanus",5.19043942135279,18.7256168438428,8.67523789459643,11.8500890396768,10.5767717833499,14.4049844644234,6.23724058505515,8.44836206500421,20.1467399173935,0.18662816767133,11.8571734672122,4.60112427330234,12.2673269542057,0,21.3541500200251,3.8048295072277,14.3322896893809,13.6754195875701,7.51355303735241,11.2053155571704,2.24226548469957,0.242045691267456,8.4720630058678,2.28205629861542,7.69451835399436,6.37062643611143,8.89157993326981,5.89251050044485,14.1675686870911,8.65992893855004,1.82896219900413,11.7423654326179,11.8895799739823,3.73029780956478,10.3781597730765,6.49876330653738,7.80849424843087,9.28438003081753,18.7705202427659,0.710139839875435,14.3619009477146,18.6723133764772,10.1933949896421
"Euneomys chinchilloides",16.2062800007859,2.73276207998856,12.8365417856826,32.9002353911374,31.5430268093709,35.6235050674453,15.2403052538035,13.321281057618,1.60347711289872,21.5397993904406,32.8999862045684,16.8759227006308,33.4145964261681,21.3541500200251,0,17.5577312754238,35.5469519642891,34.8808447939263,14.0200322371355,11.0873873763161,19.1129363742278,21.5878571807939,13.1835865508358,23.546550196606,28.7179836045516,27.3906616508851,12.721922668863,26.9329890736607,35.3903344078214,12.8025700038206,23.1304236389518,32.784617916317,32.9666109892881,17.6306082301008,31.4136351400736,15.1342299196744,13.7301359730044,12.4051918199694,2.77773404999119,22.0630397686271,35.579465713682,3.41110031743058,11.4525928781914
"Euneomys mordax",1.58168352346489,14.9435315694185,5.01405021479629,15.486203065087,14.1677778164025,18.1248179874621,2.67339612257316,4.95602527992393,16.3708401902934,3.9912961631004,15.4899742903468,1.36498454039363,15.9496821382265,3.8048295072277,17.5577312754238,0,18.0502189978404,17.3880087391823,3.91834353926832,7.7417296663727,1.58415683878243,4.03494360964483,4.90949979709805,5.99677606626635,11.2936152510675,9.95591515376347,5.28323736175768,9.48463500589651,17.8890624457169,4.96663852300725,5.57425668580646,15.3744225477192,15.5381629891406,0.439310415300289,14.0006116863912,3.0919887088798,4.20141297537199,5.69874842289565,14.9951642701785,4.51061937640559,18.081227196674,14.9329538180703,6.5528020490715
"Chinchillula sahamae",19.513694407025,32.9748877640221,23.0045946098479,2.81743766236375,4.19114326142295,0.0829735222068626,20.5691893828868,22.7690881370901,34.4087788495664,14.153198809936,2.83228036426591,18.9323230071259,2.16946894939113,14.3322896893809,35.5469519642891,18.0502189978404,0,0.667676329020436,21.8458093513706,25.5001218767183,16.55234676605,14.0911181251517,22.8022093706095,12.068235327882,6.85241146006911,8.16459012433837,23.2237921542485,8.61645858116803,0.177892497018009,22.9831000748807,12.5084883368645,2.93707039501911,2.70596872218581,18.0392049079378,4.22473244005084,20.8214128236666,22.1406774321672,23.6151252437251,33.0347241181346,13.6275312114239,0.0412210078606466,32.9819140703941,24.5255744297019
"Octodontomys gliroides",18.8545873791751,32.3102773366632,22.346088509434,2.18080418317257,3.54156226215019,0.746693056786462,19.911709286612,22.115173082067,33.7445191086881,13.4967917763118,2.19869050022281,18.2760761438971,1.5077810243497,13.6754195875701,34.8808447939263,17.3880087391823,0.667676329020436,0,21.1886102342044,24.8495450215377,15.8930626127634,13.4340804358811,22.1464542374483,11.4089403206114,6.18475040047801,7.49720589483593,22.566971380016,7.94958064142562,0.525619503038716,22.3235651447055,11.8504667278705,2.29923321574473,2.06076904500831,17.3793123720864,3.56351797639966,20.1669958706121,21.4833518808456,22.9591883312515,32.3706250282852,12.9714682883528,0.702206247469054,32.3203106990569,23.8681895929618
"Chelemys macronyx",2.35850016384743,11.3330714741158,1.18546992246501,19.3378157996395,18.0376235032361,21.918535519865,1.27774802640965,1.08703657988736,12.7276287736322,7.69310333235467,19.3432401259095,2.91731607978833,19.7741233995381,7.51355303735241,14.0200322371355,3.91834353926832,21.8458093513706,21.1886102342044,0,3.83414602209233,5.30600341080872,7.75469187333521,0.992037408407727,9.78323067743437,15.1557906642432,13.8198358312687,1.37998614403378,13.3446950793704,21.6811190977362,1.22760499285099,9.33850322960724,19.227951812912,19.3832714993605,3.83797690463875,17.857273251182,1.12451864171339,0.29572651906679,1.78522687907295,11.3555212311536,8.21929943227737,21.8754470147255,11.1905105305288,2.67992455082733
"Abrothrix sanborni",6.16587170864618,8.35669617947054,2.89172538190136,23.0552684941384,21.7772738079361,25.5707941251124,5.07109508014458,2.7888499842313,9.63099020399704,11.3779734414258,23.062453075042,6.63176961165569,23.4624427699389,11.2053155571704,11.0873873763161,7.7417296663727,25.5001218767183,24.8495450215377,3.83414602209233,0,9.05723635613218,11.4472877779591,2.84437414421648,13.4873367788189,18.8934226703125,17.5628160701285,2.53527513253838,17.0854759755584,25.3323024523575,3.03140516897038,13.0330815377991,22.9476648545174,23.0937439882131,7.62708238172919,21.5830297817382,4.72118397566731,3.5648470162692,2.11070550893542,8.31601269320759,11.8979627586777,25.5283135511564,7.92594224793929,1.59381943505148
"Loxodontomys pikumche",2.96159603925779,16.4834413585694,6.4541438013526,14.0318375407733,12.7346416951,16.6258349698686,4.02856133369479,6.27754353770746,17.9050792756266,2.42739696410473,14.037316946217,2.42583886306745,14.4711392654772,2.24226548469957,19.1129363742278,1.58415683878243,16.55234676605,15.8930626127634,5.30600341080872,9.05723635613218,0,2.47826147408447,6.27877341160305,4.48414986615295,9.85170541749252,8.51683344990028,6.68597952842633,8.04091598170223,16.3890178964666,6.43081567848277,4.04651286877585,13.9220451895138,14.0773717848494,1.48988877521959,12.5517010755001,4.33612775401605,5.59912108404029,7.08705200207466,16.5288698781353,2.95214040942462,16.5825336414725,16.4375253132683,7.98138947162948
