Parasite,Rodent
Plocopsylla reigi,Chelemys macronyx
Plocopsylla silewi,Abrothrix olivaceus
Plocopsylla viracocha,Auliscomys boliviensis
Plocopsylla viracocha,Andinomys edax
Plocopsylla viracocha,Phyllotis darwini
Plocopsylla viracocha,Chinchillula sahamae
Plocopsylla wilesi,Abrothrix olivaceus
Plocopsylla wilesi,Phyllotis xanthopygus
Plocopsylla wolffsohni,Rattus rattus
Plocopsylla wolffsohni,Abrothrix longipilis
Plocopsylla wolffsohni,Abrothrix olivaceus
Plocopsylla wolffsohni,Chelemys macronyx
Plocopsylla wolffsohni,Phyllotis darwini
Plocopsylla wolffsohni,Octodon degus
Polygenis platensis,Ctenomys fulvus
Pulex irritans,Mus musculus
Pulex irritans,Rattus rattus
Pulex irritans,Rattus norvegicus
Sphinctopsylla ares,Abrothrix longipilis
Sphinctopsylla ares,Abrothrix olivaceus
Sphinctopsylla ares,Oligoryzomys longicaudatus
Sphinctopsylla ares,Phyllotis darwini
Sphinctopsylla ares,Loxodontomys micropus
Sphinctopsylla ares,Abrothrix lanosus
Sphinctopsylla ares,Rattus rattus
Sphinctopsylla ares,Abrothrix sanborni
Sphinctopsylla ares,Geoxus valdivianus
Sphinctopsylla ares,Chelemys macronyx
Sphinctopsylla ares,Reithrodon auritus
Sphinctopsylla ares,Euneomys mordax
Sphinctopsylla ares,Phyllotis xanthopygus
Sphinctopsylla ares,Spalacopus cyanus
Sphinctopsylla ares,Aconaemys porteri
Tetrapsylllus corfidii,Octodon degus
Tetrapsyllus amplus,Abrothrix olivaceus
Tetrapsyllus amplus,Abrothrix longipilis
Tetrapsyllus amplus,Oligoryzomys longicaudatus
Tetrapsyllus amplus,Phyllotis darwini
Tetrapsyllus bleptus,Phyllotis darwini
Tetrapsyllus bleptus,Phyllotis magister
Tetrapsyllus bleptus,Phyllotis xanthopygus
Tetrapsyllus comis,Octodon bridgesi
Tetrapsyllus contortrix,Abrothrix olivaceus
Tetrapsyllus contortrix,Phyllotis darwini
Tetrapsyllus corfidii,Abrothrix longipilis
Tetrapsyllus corfidii,Abrothrix olivaceus
Tetrapsyllus corfidii,Phyllotis darwini
Tetrapsyllus corfidii,Aconaemys fuscus
Tetrapsyllus corfidii,Octodon degus
Tetrapsyllus corfidii,Octodon bridgesi
Tetrapsyllus corfidii,Octodon lunatus
Tetrapsyllus elutus,Auliscomys sublimis
Tetrapsyllus elutus,Phyllotis xanthopygus
Tetrapsyllus maulinus,Ctenomys maulinus
Tetrapsyllus maulinus,Ctenomys magellanicus
Tetrapsyllus maulinus,Ctenomys colburni
Tetrapsyllus rhombus,Abrothrix longipilis
Tetrapsyllus rhombus,Oligoryzomys longicaudatus
Tetrapsyllus rhombus,Phyllotis darwini
Tetrapsyllus rhombus,Rattus rattus
Tetrapsyllus rhombus,Abrothrix olivaceus
Tetrapsyllus rhombus,Loxodontomys micropus
Tetrapsyllus rhombus,Euneomys mordax
Tetrapsyllus rhombus,Geoxus valdivianus
Tetrapsyllus rhombus,Reithrodon auritus
